Rank,Title,Author,Points,Comments,Category,URL
41,Voice Modems,K7PJP,9,0,Normal,https://computer.rip/2026-04-26-voice-modems.html
84,8v: One CLI for you and your AI agent. Up to 66% fewer tokens,soheeilalizadeh,9,1,Normal,https://github.com/8Network/8v
34,YouTube Removes Alt-Right Criticism,pkilgore,8,0,Normal,https://www.youtube.com/post/UgkxiDyyBsYJwX0PKsnu2_AOGMhMYwm0qPKm
50,ELI: Explain Like I'm for any ArXiv Paper,Falimonda,8,1,Normal,https://eli.voxos.ai/
81,Software engineering may no longer be a lifetime career,milkglass,7,1,Normal,https://www.seangoedecke.com/software-engineering-may-no-longer-be-a-lifetime-career/
82,"Oil jumps, stock futures slip as US-Iran talks stall",onemoresoop,6,0,Normal,https://www.reuters.com/business/energy/global-markets-global-markets-2026-04-26/
25,Revocation of X.509 Certificates,jandeboevrie,4,0,Normal,https://blog.apnic.net/2026/04/24/revocation-of-x-509-certificates/
86,"California's Billionaire Tax Has the Signatures to Make the Ballot, Backers Say",testfoobar,4,0,Normal,https://www.wsj.com/politics/policy/californias-billionaire-tax-has-the-signatures-to-make-the-ballot-backers-say-1c2da7bb
51,Framework's new Linux laptop is selling faster than its Windows one,Garbage,3,0,Normal,https://www.pcworld.com/article/3123900/framework-new-linux-laptop-is-selling-faster-than-its-windows-one.html
61,Tin Can: a screen free phone for kids,silverdrake11,3,1,Normal,https://www.tomsguide.com/phones/tin-can-everything-you-need-to-know-about-the-viral-screen-free-phone-for-kids
45,Terra API (YC W21) Hiring: Applied AI Strategist (Health Intelligence),,0,0,Normal,https://www.ycombinator.com/companies/terra-api/jobs/DY7BCZU-applied-ai-strategist-market-intelligence-health
